Date,Price_MA_20,Price_MA_50,Close_Lag5,Close_Lag1,Momentum_20,Max_Price_20,MA_200,Volume_MA_20,Volume_MA_50,MA_50,Min_Price_20,Cumulative_Returns,Price_MA_200,Close
2011-04-12,24.4379999,23.959400019999997,26.700001,25.27,1.6999989999999983,27.75,23.726350005,1860460.0,1585872.0,23.959400019999997,22.190001,0.031812517028568355,23.726350005,24.65
2011-04-13,24.5434999,23.979800020000003,26.49,24.65,2.1099999999999994,27.75,23.73155001,1862550.0,1595946.0,23.979800020000003,22.190001,0.04353290261753373,23.73155001,24.93
2011-04-14,24.6599999,24.00379998,27.24,24.93,2.3299999999999983,27.75,23.738100005,1865590.0,1604224.0,24.00379998,22.190001,0.052323149950737946,23.738100005,25.139999
2011-04-15,24.79099995,24.042799999999996,26.49,25.139999,2.6200009999999985,27.75,23.75620001,1878370.0,1612854.0,24.042799999999996,22.190001,0.07074094059191793,23.75620001,25.58
2011-04-18,24.906,24.07420004,25.27,25.58,2.300000999999998,27.75,23.785350010000002,1909480.0,1622652.0,24.07420004,22.190001,0.04771879647211286,23.785350010000002,25.030001
2011-04-19,25.05449995,24.11600004,24.65,25.030001,2.9699990000000014,27.75,23.830600005,1907770.0,1615724.0,24.11600004,22.209999,0.05316036220846976,23.830600005,25.16
2011-04-20,25.2315,24.141200039999998,24.93,25.16,3.540001,27.75,23.880350005,1928490.0,1562370.0,24.141200039999998,22.33,0.07785688898521825,23.880350005,25.75
2011-04-21,25.451999999999998,24.211800059999995,25.139999,25.75,4.41,27.75,23.92675001,1974685.0,1537380.0,24.211800059999995,22.75,0.11929682374620332,23.92675001,26.74
2011-04-25,25.633999949999996,24.275200059999996,25.58,26.74,3.6399989999999995,27.75,23.971700005,1986330.0,1536676.0,24.275200059999996,23.25,0.10464629990147656,23.971700005,26.389999
2011-04-26,25.81799995,24.34880006,25.030001,26.389999,3.6799999999999997,27.75,24.02110001,2003425.0,1551986.0,24.34880006,23.709999,0.1272499425387157,24.02110001,26.93
2011-04-27,25.97599995,24.42880006,25.16,26.93,3.1599999999999966,27.75,24.065800015,2015500.0,1546262.0,24.42880006,23.709999,0.13352872053280418,24.065800015,27.08
2011-04-28,26.1735,24.525200059999996,25.75,27.08,3.9500010000000003,27.75,24.104900015,2034335.0,1559188.0,24.525200059999996,24.65,0.15780666210994698,24.104900015,27.66
2011-04-29,26.165999999999997,24.582600059999994,26.74,27.66,-0.14999999999999858,27.66,24.14345002,1494745.0,1491406.0,24.582600059999994,24.65,0.1552951509123115,24.14345002,27.6
2011-05-03,26.257500099999998,24.733400099999997,26.93,27.450001,1.0400010000000002,27.66,24.202300034999997,1305965.0,1425594.0,24.733400099999997,24.65,0.12473847319959996,24.202300034999997,26.870001
2011-05-04,26.2570001,24.829800099999996,27.08,26.870001,-0.010000000000001563,27.66,24.234250045,1199145.0,1405192.0,24.829800099999996,24.65,0.11720393960669373,24.234250045,26.690001
2011-05-05,26.254500150000002,24.922000119999996,27.66,26.690001,-0.04999899999999968,27.66,24.265350055,1195655.0,1397450.0,24.922000119999996,24.65,0.1067393096165461,24.265350055,26.440001
2011-05-06,26.248500200000002,25.013800119999996,27.6,26.440001,-0.11999899999999997,27.66,24.29595006,1104225.0,1395978.0,25.013800119999996,24.65,0.13520310318974804,24.29595006,27.120001
2011-05-09,26.3195002,25.099800099999996,27.450001,27.120001,1.4200000000000017,27.91,24.329050054999996,1052725.0,1387380.0,25.099800099999996,24.65,0.16827129210009484,24.329050054999996,27.91
2011-05-10,26.472500200000002,25.188600119999997,26.870001,27.91,3.0599999999999987,28.33,24.365950049999995,1061020.0,1397062.0,25.188600119999997,24.65,0.185851870483543,24.365950049999995,28.33
